|r|English|French|Italian|German|Spanish|Korean|Japanese|
|ABOUT|ABOUT|INFO.|INFO.|INFO.|INFO.|소개|ABOUT|
|ARE_YOU_SURE_YOU_WANT_TO_QUIT|ARE YOU SURE YOU WANT TO QUIT ?|ARE YOU SURE YOU WANT TO QUIT ?|ARE YOU SURE YOU WANT TO QUIT ?|ARE YOU SURE YOU WANT TO QUIT ?|ARE YOU SURE YOU WANT TO QUIT ?|당신은 당신이 종료 하시겠습니까?|本当に終了してもよろしいですか？|
|ATTACK|LIGHT ATTACK|ATTAQUE LÉGÈRE|ATTACCO LEGGERO|LEICHTEN ANGRIFF|ATACAR RAPIDO|라이트 공격|LIGHT ATTACK|
|BACK|BACK|RETOUR|INDIETRO|ZURÜCK|VOLVER|BACK|BACK|
|BLOCK|BLOCK|BLOCAGE|BLOCCO|BLOCKEN|BLOQUEAR|BLOCK|BLOCK|
|BLOOD|BLOOD :|SANG :|SANGUE :|BLUT :|SANGRE :|BLOOD :|BLOOD：|
|BODY_CUT|BRUTAL CUT|COUPURE BRUTALE|TAGLIO BRUTALE|BRUTALER SCHNITT|CORTE BRUTAL|BRUTAL CUT|BRUTAL CUT|
|BODY_SPLICE|BODY SPLICE|COUPURE AU CORPS|AFFETTA|KÖRPER-SPLEIßUNG|JUNTAR CUERPO|BODY의 SPLICE|ボディSPLICE|
|BUY|BUY|ACHET.|ACQUIS.|KAUFEN|COMPR.|구매|BUY|
|BUY_HONOR_POINTS|BUY MORE\nHONOR POINTS|BUY MORE\nHONOR POINTS|BUY MORE\nHONOR POINTS|BUY MORE HONOR POINTS|BUY MORE HONOR POINTS|더 \ nHONOR 포인트 구매|MORE \ nHONORのポイントを購入|
|CHARACTER_DESCRIPTION_CUCHILLO|A Los Zeta enforcer fresh from the drug cartel wars in Baja.|Un assassin du gang des Los Zeta qui participait à la guerre des cartels de la drogue à Baja.|Un membro della Los Zeta, recentemente impegnato nelle guerre tra bande di trafficanti a Baja.|Vollstrecker der mexikanischen Los Zeta. Frisch aus dem Krieg der Drogenkartelle in Baja.|Un ejecutor de Los Zeta recién llegado de las guerras de los cárteles de la droga de Baja California|바하의 마약 카르텔 전쟁에서 로스 제타 시행자 신선한.|バハで麻薬カルテル戦争からロサンゼルスゼータ執行新鮮。|
|CHARACTER_DESCRIPTION_FALCONER|Utilizing a biomechanical bird in order to track prey from above, Falconer Predator can see through the eyes of its winged ally.|Utiliser un oiseau biomécanique pour suivre les proies de dessus, le Predator Falconer peut voir à travers les yeux de son allié volant.|Utilizzando un volatile biomeccanico per tracciare la preda dall'alto, Predator Falconer potrà vedere attraverso gli occhi del suo alleato in volo.|Der Falkner Predator verwendet einen biomechanischen Vogel, um Beute aus der Luft zu verfolgen, da er durch die Augen seines geflügelten Verbündeten sehen kann.|Utilizando un pájaro biomecánico para seguir la presa desde lo alto, el Predator Halconero puede ver a través de los ojos de su aliado con alas.|위에서 먹이를 추적하기 위해 생체 역학 조류를 활용, 팔 코너 프레데터는 날개 동맹의 눈을 통해 볼 수 있습니다.|上から獲物を追跡するために、生体力学的な鳥を利用して、ファルコナープレデターは、その翼の同盟国の目を通して見ることができます。|
|CHARACTER_DESCRIPTION_HANZO|A Samurai sword-wielding organized crime enforcer.|Le bras armé d'un gang de Yakuzas, porte un sabre de samouraï.|Un membro della criminalità organizzata con una spada da Samurai|Ein Samurai-Schwert schwingender, organisierter Kriminieller.|Un Samurai ejecutor del crimen organizado que empuña una espada.|사무라이 조직 범죄 시행자는 칼을 휘두르는.|サムライ刀を振り回す組織犯罪エンフォーサを。|
|CHARACTER_DESCRIPTION_ISABELLE|The lone woman of the chosen group, whose knowledge and sniper skills were gained in the IDF (Israeli Defense Forces)|La seule femme du groupe, un sniper de l'armée israélienne.|L'unica donna di questo gruppo scelto, la cui conoscenza e le doti di cecchina sono merito della IDF (Israeli Defense Forces)|Die einzige Frau der ausgewählten Gruppe, die ihre Kenntnisse und Scharfschützenfähigkeiten bei den IDF (Israelische Verteidigungskräfte) erworben hat.|La mujer solitaria del grupo elegido, cuyos conocimientos y habilidades de francotiradora los aprendió en las FDI (Fuerzas de Defensa Israelíes).|지식과 저격 기술을 선택한 그룹의 고독한 여자 IDF (이스라엘 방위군)에서 얻은되었다|知識や狙撃スキル選択したグループの唯一の女性がIDF（イスラエル国防軍）で得た|
|CHARACTER_DESCRIPTION_MOMBASA|Revolutionary United Front death squad killer from Sierra Leone, West Africa|Un tueur des escadrons de la mort du Revolutionary United Front de Sierra Leone, en Afrique de l'ouest.|Assassino dello Squadrone della morte del Revolutionary United Front della Sierra Leone, in Africa occidentale|Killer einer Todesschwadron der Revolutionären Einheitsfront von Sierra Leone, Westafrika.|Asesino del escuadrón de la muerte del Frente Unido Revolucionario de Sierra Leona, África Occidental|시에라 리온, 서부 아프리카에서 혁명 연합 전선 죽음의 분대 킬러|シエラレオネ、西アフリカから革命統一戦線死隊キラー|
|CHARACTER_DESCRIPTION_MRBLACK|With long dreadlocks and an eerily large jawbone, he represents the most fearsome Berserker Predator.|Avec de longues dreadlocks et  une mâchoire étrangement grande, il représente le Predator Chasseur le plus effrayant.|Con lunghi dreadlock ed un inquietante mento, è considerato il Predator più feroce.|Mit seinen langen Rastalocken und dem gespenstisch großen Kiefer ist der Berserker Predator der Furchterregendste.|Con largas rastas y un maxilar de tamaño inquietante, representa el Berserker Predator más temible.|길이 험과 섬뜩 큰 턱뼈으로, 그는 가장 무시 무시한 버서커 프레데터를 나타냅니다.|長いドレッドと不気味に大きな顎骨で、彼は最も恐ろしいバーサーカープレデターを表しています。|
|CHARACTER_DESCRIPTION_NIKOLAI|A legendary war hero of the Spetsnaz Alpha Group, fresh from the battles in Chechnya.|Un héros de guerre du Spetsnaz Alpha Group, faisait la guerre en Tchétchénie.|Un leggendario eroe di guerra nello Spetsnaz Alpha Group, recentemente impegnato nelle battaglie in Cecenia.|Ein legendärer Held der Spetsnaz Alfa Gruppe, direkt aus den Kämpfen in Tschetschenien.|Un legendario héroe de guerra del Grupo Alfa Spetsnaz, recién llegado de los campos de batalla de Chechenia.|체첸 전투에서 신선한의 Spetsnaz 알파 그룹의 전설적인 전쟁 영웅.|チェチェンでの戦いからの新鮮スペツナズアルファグループの伝説的な戦争の英雄、。|
|CHARACTER_DESCRIPTION_NOLAND|A long-time survivor of our hunting missions, he knows our ways.|Un survivant de nos précédentes chasses, il connaît nos méthodes.|Sopravvive da lungo tempo alle nostre missioni di caccia, lui conosce i nostri sistemi.|Ein Langzeit-Überlebender unserer Jagd-Missionen. Er kennt unsere Mittel und Wege.|Un superviviente durante mucho tiempo de nuestras misiones de caza, conoce nuestra forma de actuar.|우리의 사냥 임무의 오랜 생존자, 그는 우리의 방법을 알고있다.|私たちの狩猟ミッションの長時間生存者は、彼が我々の方法を知っている。|
|CHARACTER_DESCRIPTION_ROYCE|A stone-cold mercenary and the leader of this band of human killers.|Un mercenaire froid comme la pierre et le chef de cette bande de tueurs humains.|Un mercenario a sangue freddo, il leader di questi assassini umani.|Ein eiskalter Söldner und Anführer seiner Bande menschlicher Killer.|Un mercenario muy frío y el líder de esta banda de asesinos humanos.|용병 돌 추위와 인간의 살인범이 밴드의 리더.|傭兵の石のように冷たいと人間の殺人のこのバンドのリーダー。|
|CHARACTER_DESCRIPTION_STANS|A mass-murderer about to be executed at San Quentin prison. Suspected in the deaths of thirty-eight people.|Un tueur psychopathe qui devait être exécuté à la prison de San Quentin pour le meurtre de trente-huit personnes.|Un serial killer che stava per essere giustiziato nella prigione di San Quentin. Sospettato della morte di 38 persone.|Ein Massenmörder, der im Gefängnis von San Quentin auf seine Hinrichtung wartete. Verdächtig des Mordes an 38 Menschen.|Un asesino en masa a punto de ser ejecutado en la prisión de San Quintín. Sospechoso de la muerte de treinta y ocho personas.|대량 살인자에 대한 산 퀜틴 교도소에서 실행 할 수 있습니다. 삼십팔명의 죽음에 의심.|大量殺人者サンクエンティン刑務所で実行されようとしている。三十から八人の死に疑い。|
|CHARACTER_DESCRIPTION_TRACKER|Little is known about this elusive beast. After locating human prey he's known to release the alien dogs under his control.|On en sait peu au sujet de cette bête insaisissable. Après avoir découvert une proie humaine, il est connu pour relâcher des chiens alien sous son contrôle.|Si sa poco di questa belva misteriosa. Dopo aver localizzato la preda umana, solitamente slega i cani alieni in suo controllo.|Über dieses trügerische Biest ist nur wenig bekannt. Nachdem er die menschliche Beute geortet hat, lässt er die außerirdischen Hunde los, die er unter seiner Kontrolle hat.|Poco se sabe acerca de esta bestia escurridiza. Después de localizar la presa humana, es conocido por soltar los perros extraterrestres que tiene bajo su control.|조금이 어려운 짐승에 대해 잘 알려져 있습니다. 인간의 먹이를 찾은 후 그는 자신의 통제하에 외계인 개를 풀어 알려져있다.|リトルは、このとらえどころのない獣について知られている。人間の獲物を見つけた後、彼は彼の支配下に外国人の犬を解放するために知られています。|
|CHARACTERS|CHARACTERS|PERSONNAGES|PERSONAGGIO|CHARAKTERE|PERSONAJES|캐릭터|CHARACTERS|
|CHECK_FULL_VERSION|CHECK FULL VERSION|A LA VERSION\nCOMPLETE|ALLA VERSIONE\nCOMPLETA|VOLLVERSION\nANSEHEN|VERIFICA LA\nVERSIÓN COMPLETA|FULL 버전을 확인합니다|フルバージョンをチェック|
|CLEAR|CLEAR|NETTE|LIBERO|FREI|NETO|CLEAR|CLEAR|
|CLOAK|CLOAK MODE|MODE CAMOUFLAGE|MODALITÀ INVISIBILE|TARNMODUS|MODO DE CAPA|망토 모드|クロークMODE|
|COMBI_STICK_DESCRIPTION|A telescopic quarterstaff, each sweeping blow of this weapon is capable of knocking several enemies off their feet, leaving them vulnerable to follow-up attacks.|Une lance télescopique dont les coups circulaires sont capables d'étourdir plusieurs ennemis en même temps, les laissant sans défense contre les attaques suivantes.|Una lancia lunga telescopica, ogni colpo vorticoso  di quest'arma è in grado di far cadere diversi nemici, lasciandoli poi in balia degli attacchi seguenti. |Ein Teleskop-Kampfsperr, der per Rundumschlag auch mehrere Feinde von ihren Füßen reißt, so dass sie für darauffolgende Attacken verwundbarer werden.|Barra telescópica, cada golpe de este arma es capaz de levantar a varios enemigos en el aire, dejándolos vulnerables a posteriores ataques.|망원경 quarterstaff,이 무기의 각 광범위 타격 후속 공격에 취약 떠나, 자신의 발을 여러 원수를 노크 할 수 있습니다.|テレスコピッククォーター、この武器の各スイープ一撃はフォローアップの攻撃に対して彼らは脆弱なまま、自分の足をオフにいくつかの敵をノックすることができます。|
|COMBO_LIST_WORD|COMBO LIST|COMBOS|LISTA COMBO|COMBO-LISTE|COMBO|콤보 LIST|コンボLIST|
|COMBO_SPEAR_HEAVY_ATTACK|Hold A = Heavy Attack|A maintenu = Attaque puissante|A premuto = Attacco Potente|A halten = Schwerer Angriff|Mantener A = Ataque fuerte|A = 헤비 어택을 잡고|=ヘビーアタックホールド|
|COMBO_SPEAR_SPIN|A+A+A+ hold A = Sweep of Death|A+A+A+A maintenu = Coup mortel|A+A+A+A premuto = Colpo della Morte|A+A+A+A halten = Bogen des Todes|A+A+A+mantén A=Barrido de la muerte|+ + + 죽음의 A = 스윕을 보유|+ A + A +死=スイープを保持|
|COMBO_WHIP_GRAPPLE|Move + B = Grapple|Déplacement + B = Grappin|Muovi + B = Corpo a corpo|Bewegen + B = Haken|Mover + B = Gancho|이동 + B = 격투|移動+ B =グラップル|
|COMBO_WHIP_THE_CHOPPER|A + A + A + hold A = The Chopper|A + A + A + maintenir A = Le hachoir|A + A + A + A premuto = L'elicottero|A+A+A+A halten=Der Helikopter|A + A + A + mantener A = El Chopper|+ + + 누르고 A = 헬기|+ A + A +ホールドA =チョッパー|
|COMBO_WHIP_VERTICAL_SLICE|Hold A = Perfect Slice|Maintenir A = Découpe vertical|A Premuto = Taglio Verticale|A halten=Vertikale Zerteilung|Mantener A = Corte vertical|A = 완벽한 조각을 잡고|=パーフェクトスライスホールド|
|COMBO_WRIST_IMPALE|A + B or Dash + B = Impale|A + B ou Saut + B = Empaler|A + B o Salto + B = Impala|A + B oder B + B = Aufspießen|A+ B o energía + B = empalar|A + B 또는 돌진 + B = 임 페일|+ Bまたはダッシュ+ B =突き刺す|
|COMBO_WRIST_SPIN|A + A + A + hold A = Whirlwind|A+A+A+ A maintenu = Tourbillon|A + A + A + A premuto = Turbine|A+A+A + A halten = Wirbelwind|A+A+ A + mantén A = Torbellino|+ + + 누르고 A = 회오리 바람|+ A + A + A =ホールド旋風|
|COMBO_WRIST_SPLICE|Impale + B + B = Body Splice|Empaler+B+B = Coupure au corps|Impala + B + B = Affetta|Aufspießen+B+B=Körper-Spleißung|Empalar + B + B = Juntar cuerpo|꿰 뚫기 + B + B = 본체 결합|突き刺す+ B + B =ボディスプライス|
|COMBO_WRIST_TROPHY_KILL|Impale + A + A + A = Trophy Kill|Empaler +A+A+A = Prise de trophée|Impala +A+A+A = Trofeo Uccisione|Aufspießen +A+A+A=Trophäentötung|Empalar +A+A+A=Trofeo de matanza|꿰 뚫기 + + + = 트로피 킬|突き刺す+ A + A + A =トロフィーキル|
